"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"C5orf24",-0.0148726146790956,8.3989870887228,-0.702677610407705,0.48228807308419,0.49644507128938,-7.51846619251714,"Non-Neuronal"
"DUBR",-0.0133440220550902,8.28751220031291,-0.701052866301635,0.483301328075857,0.497463568420852,-7.62767036588283,"Non-Neuronal"
"MAN2A2",-0.013759062570621,8.30036946095575,-0.700624178169052,0.483568867647022,0.497714435823045,-7.61583101487861,"Non-Neuronal"
"ITGB3BP",-0.00888527757652646,8.16609052374526,-0.700152165041187,0.483863538842825,0.497993202433399,-7.72902443606525,"Non-Neuronal"
"RMND5A",0.0134863948401733,8.27811447997541,0.698618299737435,0.484821781923866,0.498954857307899,-7.63618815261564,"Non-Neuronal"
"ARHGEF2",-0.0151243009908981,8.33498630970335,-0.698404381655108,0.484955503436839,0.499067902005511,-7.58609971960317,"Non-Neuronal"
"BTBD8",-0.0153686794887964,8.40828017438879,-0.697531668296093,0.485501248950795,0.499604928757834,-7.5091670109639,"Non-Neuronal"
"SLC20A2",-0.0142449418597046,8.40536262843148,-0.697167260959309,0.485729227037349,0.499814920244232,-7.51726514619559,"Non-Neuronal"
"APPBP2",0.0148133369859949,8.41615899671035,0.693642364790262,0.4879374371296,0.502062447617597,-7.50014685729421,"Non-Neuronal"
"MFSD14C",0.0136572719796249,8.32151546283587,0.691662281528647,0.489180254491047,0.503316463292615,-7.60120425494395,"Non-Neuronal"
"AC016831.5",0.0111811180995236,8.21847120677865,0.690995719132761,0.48959901183438,0.503722523744144,-7.69340422051129,"Non-Neuronal"
"ZDHHC14",0.0110403891968627,8.24458610209129,0.689772309804418,0.49036810147516,0.504488964845229,-7.67431107520392,"Non-Neuronal"
"TMEM206",0.0110556085470126,8.2120965144904,0.684843957074603,0.49347285421837,0.507658134138804,-7.70169571223405,"Non-Neuronal"
"NRBP2",0.0160091685233681,8.43824451188477,0.684347941150391,0.493785915342823,0.507955191744106,-7.4845472943193,"Non-Neuronal"
"ACVR2B",0.0111571716152419,8.20024222040285,0.683357101822025,0.494411603141759,0.508573801833978,-7.7122217330339,"Non-Neuronal"
"ELMSAN1",0.0111667622387248,8.20426918044259,0.682085824133861,0.495215000764102,0.509375142279135,-7.7113801403569,"Non-Neuronal"
"LONP1",0.0102537007482297,8.17071882749978,0.679604934975147,0.496784832085578,0.510947148724413,-7.73829718461134,"Non-Neuronal"
"TTLL5",0.00937388922802995,8.15405649967641,0.67959329872348,0.496792201398507,0.510947148724413,-7.75009253382041,"Non-Neuronal"
"GCLC",-0.0128815508802909,8.30049389476924,-0.678445748989723,0.497519238219378,0.511669721424318,-7.63108218270306,"Non-Neuronal"
"PEAK1",0.0156150674342559,8.43166464236778,0.676544837300574,0.498724817672702,0.512870658784823,-7.48932131336654,"Non-Neuronal"
"VPS13D",-0.015539413038125,8.42189692922081,-0.676527151355315,0.498736041585777,0.512870658784823,-7.51023004459546,"Non-Neuronal"
"CALCOCO1",0.0125602939353975,8.32155696130584,0.676177342320552,0.498958066149454,0.513073730997471,-7.60849112452799,"Non-Neuronal"
"AGAP3",0.0113996250863373,8.23208878033187,0.676036528203435,0.499047456008404,0.513140402960526,-7.69317380240524,"Non-Neuronal"
"DNHD1",0.00985282878165883,8.17037949115818,0.672938985788517,0.501015950218457,0.515139142990394,-7.74316572611462,"Non-Neuronal"
"GAREM1",0.0110718081379808,8.2429225184385,0.672283908351072,0.501432779793158,0.515542360176948,-7.68756946331206,"Non-Neuronal"
"GRIA3",-0.0109958001220338,8.27497258048135,-0.66983994057465,0.502989510398023,0.517117456211259,-7.66050022465565,"Non-Neuronal"
"PLPBP",0.00952448626424562,8.18899317575882,0.669576069273742,0.503157740780722,0.517264967157752,-7.73181244458516,"Non-Neuronal"
"MIA3",0.0146979293141491,8.39434849328492,0.669131366908118,0.503441326750935,0.517531047616671,-7.54086963441307,"Non-Neuronal"
"PIM1",-0.00902106572601546,8.12315516326159,-0.668264490166051,0.503994375239567,0.518074092194912,-7.7810411176856,"Non-Neuronal"
"KIAA0895L",0.0103427747037674,8.23166250597788,0.666655167474776,0.505021937721662,0.519104829507831,-7.70026894595369,"Non-Neuronal"
"RAB6A",0.0167149605552606,8.53315667671437,0.665526635118262,0.505743170713662,0.519820609221773,-7.36347212132848,"Non-Neuronal"
"POC1B",-0.0115006492293919,8.24659683235904,-0.665434790854261,0.505801891258086,0.519855398440816,-7.68952187256438,"Non-Neuronal"
"HAP1",-0.00817084253452016,8.24014705889878,-0.665238610543112,0.50592733097796,0.519958753807994,-7.69690044681801,"Non-Neuronal"
"WDR82",0.0119302586677943,8.25404740569787,0.664987659403609,0.506087815600132,0.520098114079892,-7.68131540804556,"Non-Neuronal"
"SON",0.0246438480244286,9.51690616857491,0.664119355609669,0.506643307261716,0.520643382917192,-6.33435676343277,"Non-Neuronal"
"RGS4",0.00969947745122113,8.17802275636334,0.662405522131851,0.507740661236962,0.52174540635491,-7.74485768938673,"Non-Neuronal"
"ZC3H15",0.0134252347679436,8.33142277471648,0.660492546980518,0.50896699627254,0.522979853593712,-7.61700662080684,"Non-Neuronal"
"GDAP1",0.0128952340379058,8.3632201016525,0.659998155787615,0.509284183773099,0.523280047237489,-7.5798198002453,"Non-Neuronal"
"ANKRD10",0.015634018947905,8.51909164497672,0.659785981087553,0.509420340851068,0.523394215110969,-7.40164911909099,"Non-Neuronal"
"KIF13B",-0.0145715181771102,8.39349714278941,-0.65556797150617,0.51213108061463,0.52615344761568,-7.55429007948231,"Non-Neuronal"
"PRKAR2A",0.0126078463445936,8.30427207196873,0.653584747293962,0.513408212790293,0.527439620886607,-7.64121896146727,"Non-Neuronal"
"ATXN2",0.0166666020040758,8.53438790517672,0.653224782871739,0.513640195943125,0.527652007628966,-7.37888168317574,"Non-Neuronal"
"DOCK4",-0.0197391008811127,8.71000667661746,-0.652931122966912,0.513829488809959,0.527820520796626,-7.10865959737654,"Non-Neuronal"
"LARP4B",0.0116948054709685,8.25478878248919,0.65253814079803,0.514082861498692,0.528054838812732,-7.68876545771481,"Non-Neuronal"
"SLC30A4",-0.009826499293208,8.18465985826826,-0.652429998481958,0.51415259695488,0.528100514859298,-7.74597652125607,"Non-Neuronal"
"KAT2A",0.013816950569602,8.37241756884728,0.651709724172335,0.514617190583097,0.528551736359857,-7.58088748291203,"Non-Neuronal"
"KBTBD3",-0.0101786056835653,8.23138119303138,-0.651372275863862,0.514834927619917,0.528749385123158,-7.71009767272871,"Non-Neuronal"
"ARID4B",-0.0168411965481354,8.50970338407062,-0.649793017772643,0.515854572975535,0.52977055551023,-7.41994023209586,"Non-Neuronal"
"NDUFS1",-0.015962534924082,8.52369064641349,-0.649653290817884,0.515944837888128,0.529837220512081,-7.40015988156055,"Non-Neuronal"
"ARFGEF2",0.011925996647129,8.24537108193412,0.649458824807866,0.516070478378936,0.529940205282748,-7.6981711527386,"Non-Neuronal"
"ARL17A",-0.00842492140274764,8.13863132328883,-0.6490967387049,0.516304457049801,0.530154424306811,-7.78223407870826,"Non-Neuronal"
"MFN1",-0.0126259290670703,8.36634241026617,-0.647178256963231,0.517545090064449,0.531402229542962,-7.59210493414888,"Non-Neuronal"
"PPP4R3A",0.0123021979433595,8.28482057221546,0.645134877663822,0.518868186364859,0.532734579240792,-7.66517103102805,"Non-Neuronal"
"PRDM2",-0.0131813858632537,8.32715384219953,-0.643255362889185,0.520086720972367,0.533959447282137,-7.63091270209005,"Non-Neuronal"
