"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"LRCOL1",-0.15783023121989,7.15178762718582,-10.356043032172,2.02102868109747e-24,1.3666851802668e-23,44.6124186034217,"GABAergic"
"LINC02556",-0.154109745368261,7.15174899040616,-10.3559506359561,2.02286633648725e-24,1.36748141082443e-23,44.611561589227,"GABAergic"
"AC233723.1",-0.15606820819576,7.15186847007584,-10.3555327132203,2.03119905918979e-24,1.37263641429115e-23,44.6075221176767,"GABAergic"
"AC002480.3",-0.154086889834492,7.15183010291623,-10.3555017717385,2.0318173351116e-24,1.37263641429115e-23,44.6072355135271,"GABAergic"
"AC091133.1",-0.153750348004059,7.15163655034993,-10.3554567846469,2.03271660477446e-24,1.37279618632845e-23,44.6067905898091,"GABAergic"
"AC009318.4",-0.156928247446475,7.15186524003146,-10.3553693583248,2.03446534242335e-24,1.37352935585446e-23,44.6059363227283,"GABAergic"
"PARP15",-0.154357992902036,7.15326789829833,-10.3551478600584,2.03890252264804e-24,1.37607650542877e-23,44.6038638195233,"GABAergic"
"PANO1",-0.158140805359932,7.15893038717857,-10.354752981376,2.04683677290402e-24,1.38098143573814e-23,44.6003295210932,"GABAergic"
"AL356108.1",-0.159853481238382,7.15466604238391,-10.3545180325933,2.0515720889231e-24,1.38370961469626e-23,44.597804321094,"GABAergic"
"P2RY13",-0.153812122797914,7.15184515979558,-10.3544861032774,2.05221645167137e-24,1.38370961469626e-23,44.5974513846481,"GABAergic"
"AP005901.2",-0.154443667890075,7.15268150844909,-10.354151149615,2.05898822830687e-24,1.38782372837358e-23,44.594217088131,"GABAergic"
"LINC00242",-0.154895660644269,7.15417635154138,-10.3537386508928,2.06735818730619e-24,1.39301204078312e-23,44.5903584915185,"GABAergic"
"AC084855.1",-0.160735890206075,7.15140051120384,-10.3536576195361,2.06900634429451e-24,1.39366921656495e-23,44.5892208971969,"GABAergic"
"AC009227.1",-0.165077688499263,7.15685913092277,-10.3532559858346,2.07719472210173e-24,1.39872998305894e-23,44.5856572958142,"GABAergic"
"AC024267.5",-0.153404162658857,7.15071525540009,-10.3531305261921,2.07975913271271e-24,1.40000165472468e-23,44.5842769390865,"GABAergic"
"EPS8L1",-0.161332245864824,7.15410390921732,-10.3528533142631,2.08543651476293e-24,1.40336733366746e-23,44.5816934115772,"GABAergic"
"SLC22A18AS",-0.153397705173678,7.1507151555547,-10.352522038204,2.09224130345437e-24,1.40748925360345e-23,44.5783987947173,"GABAergic"
"GEMIN7-AS1",-0.163928117440024,7.15620668420019,-10.3521793461151,2.09930375718817e-24,1.41178177670904e-23,44.5752520387831,"GABAergic"
"GCNT1",-0.156298392806821,7.1555120167525,-10.3521034039322,2.10087202684028e-24,1.41237787380535e-23,44.5746325249951,"GABAergic"
