"SYMBOL","FC","logFC","P.Value","adj.P.Val","AveExpr","t","B","Directory","DEG_test"
"Rtn4",1.52798583758952,0.611631171558181,1.76554726284425e-05,0.000991354788087044,9.56491131053345,4.32067357738255,2.61039107991342,"Vip","VehicleVsPCB_in_HETs"
"Arpp19",1.42261201507472,0.508542253396796,3.31029411172955e-05,0.00171557837227806,8.92299962332215,4.1764211494116,1.93010515415248,"Vip","VehicleVsPCB_in_HETs"
"Selenow",1.46080277873152,0.546761414724455,3.36088372129273e-05,0.00171557837227806,9.35701481958676,4.17288732721312,1.98528586312722,"Vip","VehicleVsPCB_in_HETs"
"Arpp21",1.65294387222594,0.725037736949595,6.01316279246059e-05,0.00293599209388402,9.73915372594227,4.03533424972217,1.50178690923974,"Vip","VehicleVsPCB_in_HETs"
"Mkl2",1.36317022763525,0.446965731791386,6.89392820192925e-05,0.00322578390448606,8.90377169820618,4.00242432359865,1.22998719498999,"Vip","VehicleVsPCB_in_HETs"
"Rbfox1",1.43183122288175,0.517861444933258,7.8351032704807e-05,0.00351952838909993,9.15137521278898,3.97140064663609,1.16521934722996,"Vip","VehicleVsPCB_in_HETs"
"Grm5",1.49061542371636,0.57590809272315,9.76785395863686e-05,0.00421896153674969,9.42582972876008,3.91745565242515,1.01534884850923,"Vip","VehicleVsPCB_in_HETs"
"Nrgn",1.40983744236579,0.495528826019365,0.000122862868584648,0.0051101852377985,9.04556077049375,3.86064622103442,0.728347682441314,"Vip","VehicleVsPCB_in_HETs"
"Ppp3ca",1.53774033897951,0.620811912081902,0.000146926679047926,0.00589280930610076,9.53531797153703,3.81584641136885,0.656511103623159,"Vip","VehicleVsPCB_in_HETs"
"Ppia",1.5156308970394,0.599918455457524,0.000178396804244456,0.00668502466769743,9.95499813231978,3.76672107646159,0.529183673903939,"Vip","VehicleVsPCB_in_HETs"
"Lrrc7",1.40586925795937,0.49146243390974,0.000178584808576067,0.00668502466769743,9.22004257354672,3.76645296602674,0.42118437433933,"Vip","VehicleVsPCB_in_HETs"
"Myt1l",1.45558137731873,0.541595498596569,0.000188778102406876,0.00683863900009424,9.64749907206727,3.75230042650542,0.445433582493063,"Vip","VehicleVsPCB_in_HETs"
"Atp2b2",1.38775419082132,0.472752049840991,0.000215354710658691,0.00755760437717845,9.18136079508109,3.71853432483137,0.241033649966898,"Vip","VehicleVsPCB_in_HETs"
"Hsp90ab1",1.45667572438564,0.542679749818641,0.00022258714828639,0.00757470810683686,9.68717850310675,3.71002505892058,0.29881127916299,"Vip","VehicleVsPCB_in_HETs"
"Plcb1",1.41660530263293,0.50243784770242,0.000268400557017167,0.00886511251559643,9.29749827505944,3.66149282727717,0.0637306623013121,"Vip","VehicleVsPCB_in_HETs"
"Chchd10",1.37113574348216,0.455371406094707,0.000307435760229467,0.00986429596393406,9.06459145738738,3.62593650260972,-0.113792850020932,"Vip","VehicleVsPCB_in_HETs"
"Penk",1.68756483484715,0.754942930380139,0.000350113499972425,0.0109215961241398,9.421413518095,3.59161697394105,-0.156987268590633,"Vip","VehicleVsPCB_in_HETs"
"Sptbn1",1.39295460800018,0.478148245821417,0.000365122839408397,0.0109443986480712,9.15374662559441,3.58047484476574,-0.249354850839083,"Vip","VehicleVsPCB_in_HETs"
