"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Directory","DEG_test"
"Cysteine and methionine metabolism","1/50",0.0770332554327669,0.228177806917421,0,0,13.1132323897301,33.6160080774025,"MAT2A","Oligo","VehicleVsPCB_in_HETs"
"Fanconi anemia pathway","1/51",0.0785137005379157,0.228177806917421,0,0,12.8503225806452,32.6974163032472,"REV3L","Oligo","VehicleVsPCB_in_HETs"
"Amyotrophic lateral sclerosis (ALS)","1/52",0.0799918451167407,0.228177806917421,0,0,12.5977229601518,31.8197139609718,"GRIA2","Oligo","VehicleVsPCB_in_HETs"
"Endocrine and other factor-regulated calcium reabsorption","1/55",0.0844125102691724,0.228177806917421,0,0,11.8960573476703,29.4075255899416,"CLTC","Oligo","VehicleVsPCB_in_HETs"
"Long-term depression","1/61",0.0931921917759997,0.228177806917421,0,0,10.7032258064516,25.3997324716517,"GRIA2","Oligo","VehicleVsPCB_in_HETs"
"Long-term potentiation","1/67",0.101890290925021,0.228177806917421,0,0,9.72727272727273,22.2157157034067,"GRIA2","Oligo","VehicleVsPCB_in_HETs"
"Amphetamine addiction","1/68",0.103332094120948,0.228177806917421,0,0,9.58160808858931,21.748403627067,"GRIA2","Oligo","VehicleVsPCB_in_HETs"
"Bile secretion","1/72",0.109076916577853,0.228177806917421,0,0,9.03998182644253,20.0299057127764,"CAR2","Oligo","VehicleVsPCB_in_HETs"
"Bacterial invasion of epithelial cells","1/74",0.111935940745852,0.228177806917421,0,0,8.79142730888202,19.251718331123,"CLTC","Oligo","VehicleVsPCB_in_HETs"
"Gastric acid secretion","1/74",0.111935940745852,0.228177806917421,0,0,8.79142730888202,19.251718331123,"CAR2","Oligo","VehicleVsPCB_in_HETs"
"Synaptic vesicle cycle","1/77",0.11620781868289,0.228177806917421,0,0,8.44312393887946,18.1727701577943,"CLTC","Oligo","VehicleVsPCB_in_HETs"
"ECM-receptor interaction","1/83",0.124691934724438,0.228177806917421,0,0,7.82297403619198,16.286720880527,"TNR","Oligo","VehicleVsPCB_in_HETs"
"Peroxisome","1/84",0.126098261717522,0.228177806917421,0,0,7.72833268558103,16.0030107391173,"PRDX1","Oligo","VehicleVsPCB_in_HETs"
"Circadian entrainment","1/99",0.1469323257612,0.253792199042072,0,0,6.54048716260698,12.543236185586,"GRIA2","Oligo","VehicleVsPCB_in_HETs"
"Pancreatic secretion","1/105",0.15513051500505,0.256302590008343,0,0,6.16129032258065,11.4814935632183,"CAR2","Oligo","VehicleVsPCB_in_HETs"
"Glutamatergic synapse","1/114",0.167284862929678,0.264867699638657,0,0,5.66799885812161,10.1347059053486,"GRIA2","Oligo","VehicleVsPCB_in_HETs"
"Lysosome","1/124",0.180591038128554,0.274498377955403,0,0,5.20456333595594,8.90771560432999,"CLTC","Oligo","VehicleVsPCB_in_HETs"
"Dopaminergic synapse","1/135",0.194989926282262,0.284985276874075,0,0,4.77467501203659,7.80567395558247,"GRIA2","Oligo","VehicleVsPCB_in_HETs"
"Retrograde endocannabinoid signaling","1/150",0.21423032933522,0.301509352397717,0,0,4.29075557479974,6.61078229245645,"GRIA2","Oligo","VehicleVsPCB_in_HETs"
"RNA transport","1/167",0.235497707183497,0.318419310531093,0,0,3.84803731053245,5.56447013571376,"FXR1","Oligo","VehicleVsPCB_in_HETs"
"Necroptosis","1/176",0.246530054030485,0.318419310531093,0,0,3.64847926267281,5.10886105514658,"FTH1","Oligo","VehicleVsPCB_in_HETs"
"Axon guidance","1/180",0.251383666208758,0.318419310531093,0,0,3.56622814921607,4.92415851675508,"LRRC4C","Oligo","VehicleVsPCB_in_HETs"
"Huntington disease","1/192",0.265763466602267,0.325407924967597,0,0,3.34014524573552,4.42618875975463,"CLTC","Oligo","VehicleVsPCB_in_HETs"
"Focal adhesion","1/199",0.274027726288503,0.325407924967597,0,0,3.22091886608016,4.16956317377141,"TNR","Oligo","VehicleVsPCB_in_HETs"
"cAMP signaling pathway","1/211",0.287985833325162,0.331620050495641,0,0,3.03502304147465,3.77813019238543,"GRIA2","Oligo","VehicleVsPCB_in_HETs"
"Endocytosis","1/269",0.35186629593792,0.393262330754146,0,0,2.37120847376023,2.47673677510347,"CLTC","Oligo","VehicleVsPCB_in_HETs"
"MicroRNAs in cancer","1/281",0.364371644417696,0.395603499653498,0,0,2.26820276497696,2.28993425930975,"TNR","Oligo","VehicleVsPCB_in_HETs"
"Neuroactive ligand-receptor interaction","1/348",0.430011810523416,0.441053212002904,0,0,1.82402156735149,1.53936951191966,"GRIA2","Oligo","VehicleVsPCB_in_HETs"
"PI3K-Akt signaling pathway","1/357",0.438312447404656,0.441053212002904,0,0,1.77709314969192,1.46578778758627,"TNR","Oligo","VehicleVsPCB_in_HETs"
"Human papillomavirus infection","1/360",0.441053212002904,0.441053212002904,0,0,1.76197322311079,1.44233321788059,"TNR","Oligo","VehicleVsPCB_in_HETs"
"Oxytocin signaling pathway","7/154",7.7418777177558e-05,0.0105277662292136,0,0,7.45275888133031,70.5499113430945,"CACNB2;PPP3CA;MEF2C;MAPK1;PLCB1;CALM2;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Glutamatergic synapse","6/114",0.000114432241621887,0.0105277662292136,0,0,8.64348206474191,78.4441607851792,"PPP3CA;GRK3;CACNA1A;MAPK1;DLGAP1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Estrogen signaling pathway","6/134",0.000276416184714538,0.016953525995825,0,0,7.2855561023622,59.6949536986076,"HSPA8;GABBR2;HSP90AB1;MAPK1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"MAPK signaling pathway","8/294",0.000795230344510127,0.0259734105202177,0,0,4.38176223776224,31.2721057748725,"CACNB2;HSPA8;PPP3CA;MEF2C;MAPK8;ERBB4;CACNA1A;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"C-type lectin receptor signaling pathway","5/112",0.000915960262917977,0.0259734105202177,0,0,7.21378504672897,50.4643043547104,"CYLD;PPP3CA;MAPK8;MAPK1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"cGMP-PKG signaling pathway","6/172",0.00103298615850123,0.0259734105202177,0,0,5.60696328621573,38.5495630263134,"PPP3CA;MEF2C;MAPK1;ATP2B1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Long-term potentiation","4/67",0.00103600022953773,0.0259734105202177,0,0,9.74726221237849,66.9869670188777,"PPP3CA;MAPK1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Alzheimer disease","6/175",0.00112927871827033,0.0259734105202177,0,0,5.50659274099613,37.3687083403412,"PPP3CA;MAPK1;PLCB1;CALM2;GAPDH;RTN4","Pvalb","VehicleVsPCB_in_HETs"
"Calcium signaling pathway","6/189",0.00167283013436714,0.0342000827470616,0,0,5.081709048664,32.4885774056163,"PPP3CA;ERBB4;CACNA1A;ATP2B1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Dopaminergic synapse","5/135",0.00209688392718749,0.0359014984644281,0,0,5.93058894230769,36.5757382665776,"PPP3CA;MAPK8;CACNA1A;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Fluid shear stress and atherosclerosis","5/143",0.00269246548043901,0.0359014984644281,0,0,5.58452219202899,33.0452818283662,"MEF2C;MAPK8;HSP90AB1;CALM2;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Th1 and Th2 cell differentiation","4/87",0.00271660222541548,0.0359014984644281,0,0,7.39105258242271,43.6690981905805,"PPP3CA;MAPK8;MAF;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Rap1 signaling pathway","6/209",0.0027686988680659,0.0359014984644281,0,0,4.57639346805787,26.9521100575797,"MAGI1;DOCK4;MAPK1;PLCB1;CALM2;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"cAMP signaling pathway","6/211",0.00290224681173041,0.0359014984644281,0,0,4.53128480891108,26.4729896598775,"GABBR2;MAPK8;PDE10A;MAPK1;ATP2B1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"GnRH signaling pathway","4/90",0.00307120740764859,0.0359014984644281,0,0,7.13214350099153,41.2643321219272,"MAPK8;MAPK1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Adrenergic signaling in cardiomyocytes","5/148",0.0031218694316894,0.0359014984644281,0,0,5.38789335664336,31.0844985714113,"CACNB2;MAPK1;ATP2B1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Morphine addiction","4/92",0.00332441365414133,0.0359818889624708,0,0,6.96934460887949,39.7702999318553,"GABBR2;GRK3;PDE10A;CACNA1A","Pvalb","VehicleVsPCB_in_HETs"
"Type II diabetes mellitus","3/48",0.00399674557499627,0.0408556214332952,0,0,10.1651282051282,56.1346318877792,"MAPK8;CACNA1A;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Th17 cell differentiation","4/102",0.00480540722160909,0.0465365751987407,0,0,6.25502293940832,33.3893968345521,"PPP3CA;MAPK8;HSP90AB1;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Necroptosis","5/176",0.00648149287682345,0.0574971500067119,0,0,4.49926900584795,22.6709365216079,"CYLD;MAPK8;HSP90AB1;FTH1;PPIA","Pvalb","VehicleVsPCB_in_HETs"
"Tuberculosis","5/178",0.00679125688210082,0.0574971500067119,0,0,4.44680274566474,22.1989695730066,"PPP3CA;MAPK8;MAPK1;CALM2;ATP6V0C","Pvalb","VehicleVsPCB_in_HETs"
"Thyroid hormone signaling pathway","4/115",0.00731875325496873,0.0574971500067119,0,0,5.51882114672812,27.1377835848139,"THRB;MAPK1;PLCB1;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Oocyte meiosis","4/116",0.00754184460265163,0.0574971500067119,0,0,5.46926910299003,26.7298959063356,"PPP3CA;MAPK1;CALM2;YWHAZ","Pvalb","VehicleVsPCB_in_HETs"
"Transcriptional misregulation in cancer","5/183",0.0076108031659287,0.0574971500067119,0,0,4.32079529494382,21.0776455873766,"ARNT2;MEF2C;DDX5;MAF;TSPAN7","Pvalb","VehicleVsPCB_in_HETs"
"Long-term depression","3/61",0.00781211277265108,0.0574971500067119,0,0,7.8815649867374,38.2419825029427,"CACNA1A;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Neurotrophin signaling pathway","4/121",0.00872456107396861,0.0617430476003932,0,0,5.23421453654012,24.8186203134258,"MAPK8;NTRK3;MAPK1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Osteoclast differentiation","4/128",0.0105748781415674,0.072065836224015,0,0,4.93698424606151,22.4596944510027,"CYLD;PPP3CA;MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"NOD-like receptor signaling pathway","5/205",0.0120415245032034,0.0791300181639082,0,0,3.8412109375,16.9758254428359,"MAPK8;HSP90AB1;NEK7;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Gastric acid secretion","3/74",0.0132208568565304,0.0800233834001269,0,0,6.43423618634886,27.8342460016192,"PLCB1;CALM2;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Apelin signaling pathway","4/138",0.0136314230162225,0.0800233834001269,0,0,4.56623857456902,19.6137190514645,"MEF2C;MAPK1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Pertussis","3/76",0.0142012181190962,0.0800233834001269,0,0,6.25732349841939,26.6213293871977,"MAPK8;MAPK1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Renin secretion","3/76",0.0142012181190962,0.0800233834001269,0,0,6.25732349841939,26.6213293871977,"PPP3CA;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Kaposi sarcoma-associated herpesvirus infection","5/216",0.014805221871791,0.0800233834001269,0,0,3.63892180094787,15.3299599954413,"PPP3CA;MAPK8;UBB;MAPK1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Salivary secretion","3/78",0.0152218392337198,0.0800233834001269,0,0,6.08984615384615,25.4861528621093,"ATP2B1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Salmonella infection","3/78",0.0152218392337198,0.0800233834001269,0,0,6.08984615384615,25.4861528621093,"MAPK8;MAPK1;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Retrograde endocannabinoid signaling","4/150",0.0179760565725435,0.0918776224818889,0,0,4.18838271211639,16.8319147429578,"MAPK8;CACNA1A;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"ErbB signaling pathway","3/84",0.0185269204471684,0.0921338746561886,0,0,5.63703703703704,22.4834938435611,"MAPK8;ERBB4;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Progesterone-mediated oocyte maturation","3/90",0.0221991064099522,0.107490409985032,0,0,5.24668435013263,19.9778170135177,"MAPK8;HSP90AB1;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"IL-17 signaling pathway","3/91",0.022846937450436,0.107790679253339,0,0,5.1868006993007,19.6005992934562,"MAPK8;HSP90AB1;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Protein processing in endoplasmic reticulum","4/163",0.0235585828187153,0.108369480966091,0,0,3.84340110184779,14.4060861154866,"HSPA8;MAPK8;HSP90AB1;TUSC3","Pvalb","VehicleVsPCB_in_HETs"
"Influenza A","4/168",0.0259562514790875,0.115638167414204,0,0,3.72527888069578,13.6022701951838,"HSPA8;MAPK8;MAPK1;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Pyruvate metabolism","2/38",0.0263956686488943,0.115638167414204,0,0,8.41009329940628,30.5669495837501,"MDH1;ME3","Pvalb","VehicleVsPCB_in_HETs"
"Circadian entrainment","3/99",0.0283976329295752,0.11998106886112,0,0,4.75264423076923,16.9263023472949,"MAPK1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Melanogenesis","3/100",0.0291373737153464,0.11998106886112,0,0,4.70340999206979,16.6300047845661,"MAPK1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"AGE-RAGE signaling pathway in diabetic complications","3/101",0.0298872801960054,0.11998106886112,0,0,4.65518053375196,16.3411840409647,"MAPK8;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Aldosterone synthesis and secretion","3/102",0.0306473382416991,0.11998106886112,0,0,4.60792540792541,16.0595852412691,"ATP2B1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Glucagon signaling pathway","3/102",0.0306473382416991,0.11998106886112,0,0,4.60792540792541,16.0595852412691,"PPP3CA;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Chagas disease (American trypanosomiasis)","3/103",0.0314175324794951,0.120433874504731,0,0,4.56161538461538,15.7849645324371,"MAPK8;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Axon guidance","4/180",0.0322917024284847,0.121258637690637,0,0,3.46916842847075,11.909464315325,"EPHA5;PPP3CA;MAPK1;SLIT2","Pvalb","VehicleVsPCB_in_HETs"
"Parathyroid hormone synthesis, secretion and action","3/107",0.034599321479073,0.124893943602673,0,0,4.38528106508876,14.7517399758852,"MEF2C;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Mineral absorption","2/44",0.0346173430637843,0.124893943602673,0,0,7.20647037440931,24.2382459011274,"FTH1;ATP2B1","Pvalb","VehicleVsPCB_in_HETs"
"Toxoplasmosis","3/108",0.0354199240188885,0.125332038836067,0,0,4.3432967032967,14.5086992103505,"HSPA8;MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Cholinergic synapse","3/113",0.0396727372661812,0.13773176711278,0,0,4.14482517482517,13.3757282085999,"CACNA1A;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Focal adhesion","4/199",0.0440265834568898,0.150016506593847,0,0,3.12812562114888,9.76901637633673,"MAPK8;MAPK1;ARHGAP5;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Proteoglycans in cancer","4/203",0.0467648733396675,0.156449758081797,0,0,3.06462545284562,9.3857921762144,"DDX5;ERBB4;MAPK1;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Sphingolipid signaling pathway","3/124",0.0498937842220827,0.163936719586843,0,0,3.7659249841068,11.2897115370366,"MAPK8;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Platelet activation","3/125",0.0508808414896184,0.164246926913856,0,0,3.73486759142497,11.1234396995086,"MAPK1;PLCB1;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Endocrine and other factor-regulated calcium reabsorption","2/55",0.0518486027084388,0.164485222385392,0,0,5.70761918479044,16.8912839957909,"ATP2B1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Inflammatory mediator regulation of TRP channels","3/127",0.0528833827171238,0.164924447795776,0,0,3.67425558312655,10.8010846384923,"MAPK8;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"VEGF signaling pathway","2/58",0.0569827633481542,0.169164423594785,0,0,5.40103598691385,15.4740029623051,"PPP3CA;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Legionellosis","2/58",0.0569827633481542,0.169164423594785,0,0,5.40103598691385,15.4740029623051,"EEF1A1;HSPA8","Pvalb","VehicleVsPCB_in_HETs"
"Relaxin signaling pathway","3/131",0.0570010557765037,0.169164423594785,0,0,3.55871394230769,10.1945961897615,"MAPK8;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Serotonergic synapse","3/132",0.0580536895283449,0.169553632908182,0,0,3.5309481216458,10.0504448844141,"CACNA1A;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Insulin signaling pathway","3/139",0.0656772526313176,0.183826944711383,0,0,3.34802036199095,9.11666829894287,"MAPK8;MAPK1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Mitophagy","2/63",0.0659113577848028,0.183826944711383,0,0,4.95707671130021,13.4804950161763,"MAPK8;UBB","Pvalb","VehicleVsPCB_in_HETs"
"Vascular smooth muscle contraction","3/140",0.0668022319839898,0.183826944711383,0,0,3.32341381246491,8.99322021039381,"MAPK1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Central carbon metabolism in cancer","2/64",0.0677499714446409,0.183826944711383,0,0,4.87687761635065,13.1282192125431,"NTRK3;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Apoptosis","3/141",0.0679360447846417,0.183826944711383,0,0,3.29916387959866,8.87207367760668,"MAPK8;MAPK1;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Ras signaling pathway","4/233",0.0702412373490818,0.187159156437355,0,0,2.65908398497004,7.06204766791404,"MAPK8;MAPK1;RASAL2;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Human immunodeficiency virus 1 infection","4/238",0.0746485935237214,0.187159156437355,0,0,2.60160339230107,6.75106609455283,"PPP3CA;MAPK8;MAPK1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Amphetamine addiction","2/68",0.0752705303063274,0.187159156437355,0,0,4.58038399259773,11.8479262181651,"PPP3CA;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Fc epsilon RI signaling pathway","2/68",0.0752705303063274,0.187159156437355,0,0,4.58038399259773,11.8479262181651,"MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"RIG-I-like receptor signaling pathway","2/68",0.0752705303063274,0.187159156437355,0,0,4.58038399259773,11.8479262181651,"CYLD;MAPK8","Pvalb","VehicleVsPCB_in_HETs"
"Renal cell carcinoma","2/68",0.0752705303063274,0.187159156437355,0,0,4.58038399259773,11.8479262181651,"ARNT2;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Adherens junction","2/72",0.0830426915551863,0.195895580078901,0,0,4.31777535441658,10.744354123421,"MAPK1;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)","2/72",0.0830426915551863,0.195895580078901,0,0,4.31777535441658,10.744354123421,"CACNB2;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"B cell receptor signaling pathway","2/72",0.0830426915551863,0.195895580078901,0,0,4.31777535441658,10.744354123421,"PPP3CA;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Prolactin signaling pathway","2/72",0.0830426915551863,0.195895580078901,0,0,4.31777535441658,10.744354123421,"MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Glioma","2/75",0.0890259260672631,0.201933512458229,0,0,4.13970511345812,10.0132331811128,"MAPK1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Pancreatic cancer","2/75",0.0890259260672631,0.201933512458229,0,0,4.13970511345812,10.0132331811128,"MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"PI3K-Akt signaling pathway","5/357",0.0901595283325517,0.201933512458229,0,0,2.16563831676136,5.21090399874838,"MAGI1;HSP90AB1;ERBB4;MAPK1;YWHAZ","Pvalb","VehicleVsPCB_in_HETs"
"Human cytomegalovirus infection","4/255",0.0906489944820968,0.201933512458229,0,0,2.4232990518546,5.81776048381255,"PPP3CA;MAPK1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Wnt signaling pathway","3/160",0.0910895735545271,0.201933512458229,0,0,2.89710926016659,6.94121864421999,"PPP3CA;MAPK8;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Synaptic vesicle cycle","2/77",0.0930839988966851,0.203898283297501,0,0,4.0289058524173,9.56564172438106,"CACNA1A;ATP6V0C","Pvalb","VehicleVsPCB_in_HETs"
"Hepatitis B","3/163",0.0950117843842736,0.205672568549486,0,0,2.84235576923077,6.69020725301738,"MAPK8;MAPK1;YWHAZ","Pvalb","VehicleVsPCB_in_HETs"
"Tight junction","3/167",0.100347685539065,0.214697373711487,0,0,2.77246716697936,6.37421882086303,"MAGI1;MAPK8;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Endocytosis","4/269",0.104958900976099,0.221982043443703,0,0,2.29363756033348,5.17028665174168,"HSPA8;GRK3;UBB;EPS15","Pvalb","VehicleVsPCB_in_HETs"
"Gap junction","2/86",0.111970220566275,0.231488995328029,0,0,3.59560159941839,7.8726499947399,"MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Hypertrophic cardiomyopathy (HCM)","2/86",0.111970220566275,0.231488995328029,0,0,3.59560159941839,7.8726499947399,"CACNB2;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Taste transduction","2/88",0.11629404041244,0.235143993800978,0,0,3.51162790697674,7.55573611776649,"GABBR2;CACNA1A","Pvalb","VehicleVsPCB_in_HETs"
"Colorectal cancer","2/88",0.11629404041244,0.235143993800978,0,0,3.51162790697674,7.55573611776649,"MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Antigen processing and presentation","2/90",0.120659818701714,0.236185177033143,0,0,3.43147120055517,7.25680703791269,"HSPA8;HSP90AB1","Pvalb","VehicleVsPCB_in_HETs"
"Dilated cardiomyopathy (DCM)","2/90",0.120659818701714,0.236185177033143,0,0,3.43147120055517,7.25680703791269,"CACNB2;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"GABAergic synapse","2/90",0.120659818701714,0.236185177033143,0,0,3.43147120055517,7.25680703791269,"GABBR2;CACNA1A","Pvalb","VehicleVsPCB_in_HETs"
"Cellular senescence","3/185",0.125766345984014,0.243589554326932,0,0,2.49598478444632,5.17499886144569,"PPP3CA;MAPK1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Prostate cancer","2/97",0.136244123048397,0.259028585157655,0,0,3.17750100441945,6.33373493093542,"HSP90AB1;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Proximal tubule bicarbonate reclamation","1/22",0.136589962029839,0.259028585157655,0,0,7.15945165945166,14.2528346027981,"MDH1","Pvalb","VehicleVsPCB_in_HETs"
"Phosphatidylinositol signaling system","2/98",0.138506125469413,0.259028585157655,0,0,3.14424300254453,6.2156676233819,"PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"Toll-like receptor signaling pathway","2/99",0.140776404976986,0.259028585157655,0,0,3.11167073266703,6.10068695891139,"MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Choline metabolism in cancer","2/99",0.140776404976986,0.259028585157655,0,0,3.11167073266703,6.10068695891139,"MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Chemokine signaling pathway","3/197",0.143869684132077,0.262099226537646,0,0,2.34016653449643,4.5372257084099,"GRK3;MAPK1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"T cell receptor signaling pathway","2/101",0.145340966683883,0.26218370460622,0,0,3.04850026987432,5.87955955930541,"PPP3CA;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Pathways in cancer","6/535",0.146778609964433,0.262206448868501,0,0,1.72704404388015,3.31390371911286,"ARNT2;MAPK8;HSP90AB1;MAPK1;PLCB1;CALM2","Pvalb","VehicleVsPCB_in_HETs"
"HIF-1 signaling pathway","2/104",0.152244770361611,0.269356132178235,0,0,2.95838946265529,5.56847507789001,"MAPK1;GAPDH","Pvalb","VehicleVsPCB_in_HETs"
"Pancreatic secretion","2/105",0.154560431858105,0.270848756779917,0,0,2.92951900985696,5.46991034479749,"ATP2B1;PLCB1","Pvalb","VehicleVsPCB_in_HETs"
"Collecting duct acid secretion","1/27",0.164952596297777,0.28322032260921,0,0,5.78117715617716,10.418242827789,"ATP6V0C","Pvalb","VehicleVsPCB_in_HETs"
"Phototransduction","1/27",0.164952596297777,0.28322032260921,0,0,5.78117715617716,10.418242827789,"CALM2","Pvalb","VehicleVsPCB_in_HETs"
"TNF signaling pathway","2/110",0.166238015444536,0.28322032260921,0,0,2.79318631608708,5.01191110146065,"MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Mucin type O-glycan biosynthesis","1/28",0.170513160229609,0.287838729194936,0,0,5.56677890011223,9.84731344975716,"GALNTL6","Pvalb","VehicleVsPCB_in_HETs"
"Leukocyte transendothelial migration","2/115",0.178064087897262,0.297852656119057,0,0,2.66891846247382,4.60551705629833,"ARHGAP5;ACTB","Pvalb","VehicleVsPCB_in_HETs"
"Natural killer cell mediated cytotoxicity","2/118",0.185221764706583,0.307034276630732,0,0,2.59949986838642,4.38328043086988,"PPP3CA;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Glyoxylate and dicarboxylate metabolism","1/31",0.186975308171412,0.307173720567319,0,0,5.00934343434343,8.39956043536044,"MDH1","Pvalb","VehicleVsPCB_in_HETs"
"Citrate cycle (TCA cycle)","1/32",0.192390307832751,0.31327271363917,0,0,4.8475073313783,7.9898027289773,"MDH1","Pvalb","VehicleVsPCB_in_HETs"
"Prion diseases","1/34",0.203113153381796,0.327831756335531,0,0,4.55325987144169,7.25786003398299,"MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Autophagy","2/130",0.214218667401197,0.341641514555038,0,0,2.35436545801527,3.62750735636584,"MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Thyroid cancer","1/37",0.218933037050741,0.341641514555038,0,0,4.17319023569024,6.33903157701046,"MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"FoxO signaling pathway","2/132",0.219096188682035,0.341641514555038,0,0,2.31790957134469,3.5191532909944,"MAPK8;MAPK1","Pvalb","VehicleVsPCB_in_HETs"
"Spliceosome","2/132",0.219096188682035,0.341641514555038,0,0,2.31790957134469,3.5191532909944,"HSPA8;DDX5","Pvalb","VehicleVsPCB_in_HETs"
