"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_yellow","kME_black","kME_brown","kME_green","kME_red"
"Ptprn","grey","grey",0.082641113423151,0.0742074221095183,0.172800519752318,0.177518913199972,0.0832796081973076,0.0512379331332511,0.157085238425973,0.147211258836207
"Resp18","turquoise","turquoise",0.219420598771717,0.241212624439579,0.135646514931041,0.0394865009851129,0.056779255541927,0.0833330613044163,0.185166188133764,-0.0813363027178215
"Slc4a3","blue","blue",0.128669502991198,0.195283042058541,0.162996808412995,0.074513933698663,0.122178380980554,0.0273458881638434,0.142281812702362,0.0366717436569567
"Epha4","red","red",0.0555130182303555,-0.0533541996158861,0.169910002652767,0.283860798517577,0.0192037784409052,0.100751852860893,0.144984347796376,0.355487019337334
"Acsl3","turquoise","turquoise",0.222324407860349,0.141425448514011,0.0994397829192491,0.0101754305083206,-0.025277067887658,0.0565473943367731,0.106530707323839,-0.0555561460185109
"Scg2","blue","blue",0.18099540482263,0.171519861349157,0.0573786722894212,-0.096296134829543,-0.0397628716362284,0.122454040153761,0.0253365980342191,-0.0796970063022758
"Nyap2","green","green",0.0941134076755623,0.104138478969276,0.163438873588711,0.178157078509284,0.10013651345718,-0.0178205208890285,0.217197031374944,0.090155049726276
"Mff","blue","blue",0.106281345005142,0.136630229249486,0.125008680086999,0.0691865562825375,0.0860891013119347,0.0351635437472202,0.110396467209405,0.0334007888370652
"Sphkap","red","red",0.103377392825753,0.000877796346558035,0.18851277891595,0.176695623179152,0.035267207300125,0.156327187522287,0.101129103233222,0.296046037912485
"Trip12","grey","grey",0.0710632577820182,0.104630286492152,0.120750915763186,0.0567705687209482,0.103590721900857,0.0407300594411182,0.0842324200992565,0.0502414356624119
"Itm2c","grey","grey",0.191307710372451,0.0347589644169351,0.21258454599284,0.182019092443902,-0.00760720918244831,0.157087979763425,0.135741583370215,0.20634973893505
"Psmd1","turquoise","turquoise",0.178362106285815,0.136695690894828,0.158535143578909,0.0917915577574338,0.0448292606987672,0.0972132256248531,0.139919228820136,0.0587936274725837
"Ncl","turquoise","turquoise",0.247357757641127,0.142413234937194,0.174870716421035,0.0884356756570907,0.00456061956003997,0.14868453241156,0.14262333617296,0.0663011313288508
"Ptma","turquoise","turquoise",0.212770150530702,0.0214700574291157,0.0974486802318373,0.040987343208494,-0.092986354561441,0.13581893402435,0.0568635213160529,0.0434419662645137
"Gigyf2","grey","grey",0.0642164212742918,0.1028159995926,0.110093298343214,0.0288660080772639,0.0931839235959487,0.0346734090410019,0.0612244320264152,0.0313745218542749
"Ngef","yellow","yellow",0.117709906420337,0.0234608797490127,0.17449987331932,0.263386709687961,0.0246532893405627,0.0363885733794092,0.182650884939243,0.184277681771268
"Atg16l1","grey","grey",0.0159698100675943,0.0581709575530648,0.0721821123237613,0.0463032002137083,0.0797959000695568,0.00154472704591254,0.0534738109455179,0.0425679317988529
"Dgkd","brown","brown",0.029991311132593,0.0392888932234921,0.0729649972409924,0.0257644588158102,0.0573900399538682,0.0649057804100088,0.0203901272934514,0.0718560545124828
"Usp40","black","black",-0.00279514933543797,0.0495109971184018,0.0292643379382359,-0.0156015128701725,0.101729202460527,0.000691616666826722,0.00436224406557998,-0.0112092216023347
"Hjurp","blue","blue",0.0211694787829261,0.082682532977178,0.0188619011707201,0.00727873518484324,0.0533842928950376,-0.0385896970063936,0.0591964981506519,-0.0579779988713919
"Cops8","grey","grey",0.0626938468813301,0.0625216422253035,0.0841484890060988,0.0314573134171891,0.0414762070798476,0.0508764304924434,0.0470329607572465,0.0404992248905271
"Lrrfip1","blue","blue",0.0897411293660591,0.195930164169477,0.18614137278463,0.0823903295213636,0.181085856592057,0.0580951012712683,0.126199567760967,0.0807167566600295
"Ramp1","red","red",0.100705626094381,-0.0339456558657787,0.102634255915656,0.147636829895586,-0.0533595239475298,0.104126871414235,0.0686322403096748,0.183782864799889
"Ndufa10","turquoise","turquoise",0.192115408913655,0.167489105058106,0.174966342222777,0.0721283102046085,0.0674222038749656,0.095379337030224,0.137154228976739,0.051366394311872
"Cops9","grey","grey",0.0987589333271399,0.092314269946764,0.0626087573560954,0.0336157883377416,0.0176003272549716,0.141863913214659,0.0520642096968427,0.0411625861188859
