"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"Spc245",-0.0443185990737982,7.63264034424003,-3.18771278807968,0.00146366711763779,0.00561580853591058,-2.10626992442547,"Pvalb"
"Nupr1l5",-0.0443167030239433,7.63454703684973,-3.52875959743589,0.000430137950911244,0.0022289842184297,-0.974484387822735,"Pvalb"
"Slc25a436",-0.0443104395867504,7.63194109430856,-3.54108743929393,0.000410691572397769,0.00216280649586198,-0.93254139049928,"Pvalb"
"Rrad4",-0.0443054862898293,7.6319821743957,-3.53870403613576,0.000414385928455897,0.00217801351559282,-0.941997497731387,"Pvalb"
"Bcar35",-0.0443045890439233,7.63814452431236,-3.01399115648647,0.0026216799883296,0.00866529159986761,-2.63336346849153,"Pvalb"
"Aldh1a22",-0.0442979944485389,7.63074061111334,-3.57539224442469,0.00036081663690706,0.0019775584501783,-0.813489732507271,"Pvalb"
"Acsf22",-0.0442927343659303,7.63068915523946,-3.57601093952155,0.000359971515194937,0.00197399410109776,-0.811924965515921,"Pvalb"
"Gm105615",-0.0442926366642444,7.63061742064855,-3.57535587231527,0.000360866378035126,0.0019775584501783,-0.814315586496257,"Pvalb"
"Taf9b6",-0.0442916259747843,7.65205088883969,-2.86099558796779,0.00428178548734353,0.0127173896423685,-3.06396159778898,"Pvalb"
"Nespas5",-0.0442855406499083,7.6306261037943,-3.57486603068848,0.000361536892606878,0.0019775584501783,-0.816030855485424,"Pvalb"
"Fam47e2",-0.0442825384990995,7.63065323264053,-3.5745541836594,0.000361964368465872,0.0019775584501783,-0.817101284506106,"Pvalb"
"Ankrd72",-0.0442825384990995,7.63065323264053,-3.5745541836594,0.000361964368465872,0.0019775584501783,-0.817101284506106,"Pvalb"
"Zfp4556",-0.0442812712419487,7.64292663144707,-3.13471300565608,0.00175363438194683,0.00646645193561502,-2.26134181467985,"Pvalb"
"Gm118164",-0.0442798810357852,7.63068696723839,-3.5746025262292,0.000361898070128286,0.0019775584501783,-0.816892847240546,"Pvalb"
"Epha11",-0.0442798810357852,7.63068696723839,-3.5746025262292,0.000361898070128286,0.0019775584501783,-0.816892847240546,"Pvalb"
"Hyal34",-0.0442798810357852,7.63068696723839,-3.5746025262292,0.000361898070128286,0.0019775584501783,-0.816892847240546,"Pvalb"
"Hist1h3i5",-0.0442798381078724,7.63066285740753,-3.5746825319835,0.000361788372994127,0.0019775584501783,-0.816634099726636,"Pvalb"
"Mapkapk26",-0.0442708333470572,7.66215402217251,-2.38846094654805,0.0170423878034918,0.0402140772073946,-4.28254161658264,"Pvalb"
"Prr186",-0.0442680564822018,7.63479472443335,-3.29764238594889,0.000997864083835621,0.00418863960967157,-1.75232071272338,"Pvalb"
"Gm163235",-0.0442680150496164,7.63068084543517,-3.57249389551332,0.00036480049430766,0.00198835908724421,-0.823936651515734,"Pvalb"
"H3f3aos4",-0.0442677355502976,7.63060682742712,-3.5726507087631,0.000364583901138076,0.0019878639375639,-0.823861302190633,"Pvalb"
"Iqcd4",-0.0442645922050424,7.63068280915045,-3.57214397337989,0.000365284247085091,0.0019897504571533,-0.825166636433975,"Pvalb"
"Jag15",-0.0442642404294089,7.63065827216342,-3.57264851171776,0.000364586934903534,0.0019878639375639,-0.823810973506176,"Pvalb"
"Gm296762",-0.0442642404294089,7.63065827216342,-3.57264851171776,0.000364586934903534,0.0019878639375639,-0.823810973506176,"Pvalb"
"Lysmd16",-0.0442615769875223,7.67724177103662,-2.4378743037524,0.0148895895180948,0.0359030158683563,-4.1481974253045,"Pvalb"
"Acsf35",-0.044256300105225,7.67762308988181,-2.47752318321638,0.0133394359418023,0.0327600853276616,-4.05261935412271,"Pvalb"
"Cyp2j125",-0.0442552154172287,7.63067577662477,-3.57199455323873,0.000365490997075539,0.0019897504571533,-0.826025257622382,"Pvalb"
"Gm163153",-0.0442515751766051,7.63068243644533,-3.57150404301865,0.000366170477494624,0.00199042488859513,-0.827815010115121,"Pvalb"
"Akap31",-0.0442423669235374,7.63069868044402,-3.5706787729475,0.00036731635329543,0.00199402064578843,-0.830702849361689,"Pvalb"
"Gm27211",-0.0442423669235374,7.63069868044402,-3.5706787729475,0.00036731635329543,0.00199402064578843,-0.830702849361689,"Pvalb"
"Srpx3",-0.0442415871852235,7.63069600915089,-3.56978933552799,0.000368555081541156,0.00199940514597628,-0.833440184632463,"Pvalb"
