SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Kif21a,1.09812414,0.135041156,0.003181804,0.008542141,11.43767641,2.952660187,-3.03386657
Nsf,-1.088198178,-0.121941318,0.00354414,0.009429945,10.78058714,-2.919079361,-3.214283474
Caly,1.091691494,0.126565216,0.003784723,0.009980951,10.94566774,2.898470033,-3.253539865
Rpl9-ps6,-1.089311495,-0.123416561,0.004024999,0.010521489,10.78310206,-2.879043489,-3.329371284
Sst,-1.216427404,-0.282650223,0.00408426,0.01058356,12.23387484,-2.874414504,-3.197721701
Atp5a1,1.082696097,0.114628348,0.004773463,0.012262862,10.72524318,2.824637178,-3.487335469
Hsp90ab1,1.105842677,0.145146155,0.004871405,0.01240751,11.93638337,2.818099941,-3.375966949
Grina,1.086048994,0.119089188,0.005233997,0.013217552,10.95277705,2.794890698,-3.545557662
Rps8,-1.093459424,-0.128899687,0.005314215,0.013217552,11.39048635,-2.789953082,-3.50096592
Stmn2,1.090667443,0.125211275,0.005322504,0.013217552,10.94212749,2.789446734,-3.562096824
Syn2,1.090673693,0.125219541,0.006103455,0.01503165,11.26115726,2.744665346,-3.641814523
Macf1,1.086808445,0.120097681,0.006871201,0.016783754,11.17772212,2.705420047,-3.758284881
Matr3,1.081856597,0.113509279,0.007893292,0.019041779,11.10959671,2.658885833,-3.891245111
Scn1a,1.08422841,0.116668715,0.007923425,0.019041779,10.933105,2.657597885,-3.920233362
Pnisr,1.087566191,0.121103209,0.008122909,0.019365016,11.44647297,2.649180304,-3.877041145
Ank2,1.083868231,0.116189374,0.009690431,0.022812299,11.76754599,2.588808287,-4.004393528
Oaz1,1.077267492,0.107376524,0.00972202,0.022812299,10.7940572,2.587684028,-4.118373172
Clk1,1.076300352,0.106080733,0.010326079,0.023972666,10.71716398,2.566789158,-4.17899475
Tnik,-1.078843467,-0.109485554,0.010377429,0.023972666,10.76322936,-2.565063523,-4.180925378
Thy1,1.07842053,0.108919867,0.011145405,0.025440701,10.85641947,2.540123036,-4.233139517
Ypel3,-1.075861742,-0.10549269,0.011183664,0.025440701,10.84277017,-2.538920967,-4.238249896
Ank3,1.080599816,0.111832342,0.012138818,0.0274043,11.09032673,2.510034983,-4.276251924
Rbfox1,1.087755499,0.12135431,0.012296571,0.027551716,11.30485699,2.505459565,-4.260472567
Snrnp70,1.080848806,0.112164726,0.012921813,0.02873657,11.44737808,2.487822316,-4.2887528
Luc7l2,1.075206902,0.104614304,0.01376925,0.030394344,12.3882829,2.465086026,-4.277514965
Phf20l1,-1.078915529,-0.109581917,0.016071124,0.035214669,11.14914326,-2.409042539,-4.512932437
H3f3b,1.071101785,0.099095584,0.016326571,0.035513272,10.77429953,2.403267145,-4.578106695
Clcn3,1.069965758,0.097564627,0.019555494,0.04222853,10.93661116,2.336376796,-4.717349926
Atp5b,1.067069092,0.093653593,0.021718709,0.046562412,10.8092507,2.296787383,-4.823709178
Malat1,1.079385114,0.110209696,0.022310436,0.047489356,17.35507562,2.28655832,-4.562023677
Csmd1,1.081517086,0.113056458,0.022754489,0.048091047,11.38566112,2.279035987,-4.78992786
Ptprd,1.089219179,0.123294291,0.023734135,0.049808254,11.05176502,2.26288176,-4.868916345
Syt1,1.079741652,0.110686162,0.026710665,0.055662785,13.16181722,2.217117929,-4.834548509
Map1b,1.0756506,0.105209528,0.027077883,0.056036175,11.81376476,2.211781955,-4.899925909
Tra2a,1.070280508,0.09798896,0.027446898,0.056408108,11.30133159,2.206482462,-4.961081927
Ttll7,1.065531822,0.091573679,0.028697066,0.058431326,10.77605269,2.188974146,-5.067542912
Rps5,-1.06536987,-0.091354386,0.028823507,0.058431326,10.70463027,-2.187240199,-5.079339722
AC149090.1,1.076948113,0.106948744,0.029206519,0.058807721,11.28142231,2.182027443,-5.016788285
Dst,1.064222506,0.089799819,0.030427555,0.06085511,10.73546935,2.165793122,-5.121626219
Nptn,1.068360532,0.095398586,0.032417885,0.064395663,11.31795727,2.140492917,-5.101747263
Ube2b,1.062948214,0.088071312,0.032630017,0.064395663,10.83202503,2.137875597,-5.171959348
Sf3b1,1.066768161,0.093246672,0.035562647,0.069721505,11.20997808,2.103108566,-5.193718822
Vamp2,1.060693155,0.085007363,0.038389463,0.074771633,10.80435158,2.071840624,-5.313324462
Fus,1.066291115,0.092601372,0.038938868,0.075349238,11.45640807,2.065992372,-5.24268924
Chl1,-1.067511714,-0.094251901,0.039557595,0.076052666,10.90005241,-2.059489599,-5.326771625
Ube3a,1.061373538,0.085932485,0.045824469,0.087536486,10.94609271,1.998069763,-5.445519566
Kif5c,1.05723308,0.080293472,0.046753575,0.088742454,10.7277281,1.989577241,-5.486718965
