SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Syt1,1.088922037,0.122900665,0.012697949,0.041801988,12.98199382,2.494830927,-3.815204398
Akap8l,1.09293243,0.128204209,0.01277283,0.041801988,10.2631562,2.492735751,-3.901192249
Psip1,1.09722791,0.133863226,0.013224497,0.042686993,10.56297881,2.480324009,-3.904400826
Strbp,-1.094355691,-0.130081724,0.013225671,0.042686993,10.43002236,-2.480292255,-3.920804512
Zcchc7,1.096460382,0.132853684,0.014078738,0.045129105,10.63796517,2.457841495,-3.94938828
Ndufa6,-1.090555169,-0.125062754,0.014286606,0.045133698,10.27890038,-2.452553471,-3.99937785
Syne1,1.096921483,0.133460262,0.014364226,0.045133698,10.70714759,2.450596281,-3.958919382
Rab3a,1.099998965,0.137502166,0.014448579,0.045133698,10.77266413,2.448479874,-3.957338095
Gria1,-1.103812049,-0.14249454,0.014465929,0.045133698,10.98348636,-2.44804591,-3.941166269
Gsk3b,1.092206374,0.127245481,0.014626728,0.045333169,10.67281967,2.444045736,-3.978595184
Pnpla8,-1.088128741,-0.121849258,0.014799538,0.045566999,10.20953571,-2.439789772,-4.033313266
Dnm3,1.094728826,0.130573546,0.015538358,0.047529096,10.34153464,2.422074397,-4.068088441
Pacsin1,1.089024928,0.123036978,0.015658076,0.047584284,10.36122972,2.419273974,-4.073580327
Atp6v0a1,1.090691698,0.125243358,0.015892566,0.047985295,10.64225709,2.413843046,-4.054719507
Ntrk3,-1.103465985,-0.142042158,0.016094289,0.048282867,10.72669978,-2.409227146,-4.055684113
Gria2,1.08435861,0.116841951,0.016558291,0.049234023,12.4033554,2.398799887,-4.026934993
Rufy3,-1.090938704,-0.125570044,0.016621743,0.049234023,10.40312245,-2.397393997,-4.123791409
Fam168a,-1.0881525,-0.121880759,0.018324706,0.053936869,10.36983522,-2.361318168,-4.211203286
Sfpq,1.08829097,0.122064333,0.020313632,0.059417372,10.43336716,2.322730399,-4.293502733
1700020I14Rik,-1.08717217,-0.12058043,0.021227271,0.061704117,10.37972466,-2.306101533,-4.337916279
Kif1b,1.086871009,0.12018073,0.022002941,0.063564051,10.45113911,2.29246665,-4.360360104
Taf15,-1.08231958,-0.114126551,0.022200131,0.063740254,10.19272011,-2.289067222,-4.386337963
Cadps,-1.084517002,-0.117052671,0.023025554,0.065707069,10.41682753,-2.275116689,-4.405174129
Ndufa4,-1.091329608,-0.126086897,0.023653089,0.067088762,10.46870058,-2.264798703,-4.421704843
Hspa8,1.102419791,0.140673693,0.024036885,0.067766641,11.36539542,2.258604885,-4.364826336
Tmem30a,1.088400408,0.122209403,0.025131868,0.07012225,10.52550524,2.241393763,-4.466660259
Serf2,-1.079214804,-0.109982043,0.025189205,0.07012225,10.25101293,-2.24051056,-4.492594038
Sars,-1.080465685,-0.111653253,0.025321924,0.07012225,10.21562877,-2.238472876,-4.498643259
Nebl,-1.088325672,-0.122110335,0.025616446,0.070327183,10.80829338,-2.233983798,-4.449679199
Atp11b,-1.082178245,-0.113938145,0.025696471,0.070327183,10.26811112,-2.232771787,-4.508977598
Scn1a,-1.093205941,-0.128565205,0.026107706,0.071037245,11.25669637,-2.226594525,-4.439155722
Dtx3,1.080641222,0.111887621,0.02659135,0.071934982,10.21236894,2.219436387,-4.53997765
Gabra4,1.083965147,0.11631837,0.02810307,0.075587568,10.26179508,2.197765495,-4.585282199
Zwint,1.079696777,0.110626201,0.028620584,0.07653962,10.27502941,2.190577731,-4.600303888
Rbm25,-1.083884416,-0.116210918,0.029710296,0.079002379,10.85039178,-2.17580173,-4.572697758
Mat2a,-1.080261485,-0.111380569,0.030345084,0.079795575,10.35292632,-2.167408033,-4.64655494
Acsl3,-1.087255467,-0.120690963,0.030349599,0.079795575,10.31698761,-2.167348873,-4.648814837
Mir124a-1hg,-1.092564117,-0.127717947,0.030684676,0.080225856,11.47961259,-2.162979483,-4.570410285
Gabrg3,-1.087375467,-0.120850184,0.031005668,0.080614736,10.54792899,-2.158832051,-4.642855106
Hspa5,1.082011371,0.11371566,0.032804678,0.084820937,10.30998243,2.136247617,-4.714685163
Sgip1,-1.083472511,-0.11566255,0.033100444,0.085115427,10.8391922,-2.132636822,-4.665557703
Dock3,1.081341501,0.112822216,0.035804436,0.091565443,10.57052604,2.100846645,-4.762207963
Prpf4b,1.078722535,0.109323828,0.037832759,0.096174376,10.61190874,2.078319732,-4.803198519
Limch1,-1.076582557,-0.106458956,0.038123324,0.096174376,10.32758062,-2.075177409,-4.841754355
Srsf11,1.074140274,0.10318241,0.038223149,0.096174376,11.73895987,2.074102558,-4.749864097
C230004F18Rik,1.082686181,0.114615136,0.038452022,0.096232868,10.98076612,2.071647184,-4.781649999
Hmgn3,-1.07736849,-0.107511776,0.039627945,0.098648288,10.35206229,-2.059224332,-4.872832183
Slc25a36,-1.072905554,-0.101523084,0.043108958,0.106743778,10.2435732,-2.024199992,-4.949266473
Rps16,-1.075017909,-0.104360694,0.0433635,0.106743778,10.15439103,-2.021734069,-4.958047043
Rtn3,1.081180772,0.11260776,0.043564234,0.106743778,11.3049313,2.019798039,-4.871221204
Herc1,1.075792478,0.105399807,0.045137738,0.109692252,10.64358449,2.004877679,-4.947437538
Map1b,1.082148886,0.113899004,0.045415515,0.109692252,11.35316474,2.002289479,-4.904489419
Mdh1,1.084584265,0.117142146,0.045483716,0.109692252,11.06457052,2.001656051,-4.917415885
Selenom,-1.076799472,-0.106749608,0.045705105,0.109692252,10.31069636,-1.999605377,-4.995123479
Mpc2,-1.071528679,-0.099670464,0.046257966,0.110170853,10.21477665,-1.994520695,-5.009429161
Bsg,1.072768759,0.101339129,0.046375338,0.110170853,10.29149138,1.993447823,-5.007609113
Aplp2,1.08001393,0.111049921,0.047003541,0.11109928,10.73841836,1.987744109,-4.970415246
Ccdc88a,-1.072918088,-0.101539938,0.047343235,0.111339868,10.32242929,-1.98468659,-5.023915511
Mycbp2,1.075164773,0.104557775,0.047807819,0.111870296,11.45418793,1.980534704,-4.944392353
Lrfn5,1.073435293,0.102235228,0.049464528,0.11517114,10.27122577,1.96600004,-5.062315935
