SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Lrrfip1,1.106944333,0.146582673,0.010554741,0.058789907,10.16408192,2.560345433,-3.261704265
Lars2,-1.127963198,-0.173719997,0.011061266,0.061001238,10.23060637,-2.543941615,-3.297186227
Dclk1,-1.103538986,-0.142137598,0.011333566,0.061890158,11.25334206,-2.535397443,-3.315505788
Auts2,1.10819349,0.148209797,0.011460206,0.061974123,10.31409154,2.531485768,-3.323902259
Grin2b,-1.106556617,-0.146077268,0.011573282,0.061983829,11.28017566,-2.528025366,-3.335222678
Far1,-1.098770835,-0.135890523,0.011845213,0.062836036,9.91391847,-2.519825016,-3.380853967
Pkn2,-1.101343172,-0.139264074,0.01281747,0.067352178,10.14273103,-2.491810668,-3.430560785
Zmat4,-1.108911532,-0.149144273,0.013347095,0.069410599,10.04440296,-2.4773336,-3.473333299
2900055J20Rik,-1.119369878,-0.16268683,0.013458429,0.069410599,10.3061739,-2.474355175,-3.461988896
Kcnh7,-1.114660411,-0.156604251,0.013676621,0.069888789,10.51112888,-2.468580674,-3.464471017
Phf20l1,-1.107546078,-0.147366721,0.014276914,0.071717356,10.66752537,-2.453104032,-3.497511219
Mkl2,-1.101481797,-0.139445654,0.01440654,0.071717356,10.19849162,-2.449837664,-3.527528571
Dynll1,-1.100290726,-0.137884773,0.014420725,0.071717356,10.01164939,-2.449481797,-3.54284559
Magi2,-1.102305779,-0.140524483,0.014732068,0.072617361,10.15121925,-2.441747878,-3.549997894
Sptan1,1.101912749,0.140009994,0.015219746,0.074363145,10.51294318,2.42991873,-3.558428592
Kalrn,-1.107726077,-0.14760117,0.015883725,0.076621083,11.54672478,-2.414339136,-3.628277957
Arfgef3,-1.101728339,-0.139768532,0.015956994,0.076621083,10.18704469,-2.412655266,-3.616204657
Ryr2,-1.109697554,-0.150166526,0.017148692,0.081292293,10.43988472,-2.38618075,-3.662167359
Serinc1,1.100591456,0.138279034,0.017221707,0.081292293,10.35517337,2.384611805,-3.672575568
Gdi1,1.09498842,0.130915612,0.017388886,0.081391677,10.09392115,2.381041309,-3.697865541
Cdh2,1.10357772,0.142188236,0.018528748,0.08600427,10.19064491,2.357469547,-3.744759679
Dlgap1,1.093966986,0.129569201,0.019284418,0.088212287,11.53054977,2.342533703,-3.791554384
Zfp950,-1.099580405,-0.136953102,0.019321183,0.088212287,10.14679068,-2.341820181,-3.782760039
Numb,-1.10132233,-0.139236772,0.020546093,0.093042064,10.23163626,-2.318700903,-3.829462472
Gabbr1,-1.098715067,-0.135817297,0.022033191,0.098971672,10.30108975,-2.292197901,-3.884490748
Gria2,-1.071583964,-0.099744896,0.022557952,0.099102939,12.54471896,-2.28321699,-4.02798482
Gabra1,-1.106255404,-0.145684503,0.022584967,0.099102939,10.51999789,-2.282759583,-3.892874299
Hnrnph1,-1.092454293,-0.127572921,0.022632857,0.099102939,9.940355583,-2.281949901,-3.93476142
Spag9,-1.093393645,-0.128812896,0.022825018,0.099102939,10.23892529,-2.278715946,-3.918398006
Rtn1,1.088341194,0.122130911,0.022952027,0.099102939,12.0538077,2.276591418,-3.989332904
Serf2,-1.090389046,-0.124842975,0.023183418,0.09933203,10.01884719,-2.272747009,-3.948542823
Xist,-1.076936086,-0.106932631,0.024335697,0.102145241,12.67721491,-2.254085033,-4.107072369
Fus,-1.094920261,-0.130825807,0.024380165,0.102145241,10.87201013,-2.253380337,-3.955299732
Sfpq,1.09325868,0.128634803,0.024390156,0.102145241,10.35971787,2.253222156,-3.968486521
Zfp638,1.091701879,0.12657894,0.024894983,0.103099466,10.16190311,2.245302036,-3.997758572
Cck,-1.121804633,-0.165821446,0.025104427,0.103099466,10.4109204,-2.242056914,-3.987871497
Peg3,1.100463697,0.138111553,0.025173299,0.103099466,10.55465487,2.240994953,-3.985204459
Atp1a1,-1.10656925,-0.14609374,0.026262467,0.106775141,10.67978207,-2.224526491,-4.01660606
Chchd2,-1.088829374,-0.122777893,0.026458026,0.106790729,9.938273283,-2.221632405,-4.067254859
Nrn1,1.096665099,0.133123021,0.027244914,0.109175663,10.5964028,2.210170997,-4.050382436
Ncoa7,1.086611639,0.119836405,0.027824627,0.110137324,9.954363172,2.201908755,-4.108861043
Uchl1,1.091083013,0.12576087,0.027880364,0.110137324,10.18682522,2.201122234,-4.091461032
Ly6h,1.103088831,0.141548976,0.029556603,0.115936815,10.45098958,2.178079277,-4.125613802
Atp2a2,-1.091815627,-0.126729251,0.03073584,0.119719323,10.21340713,-2.162533833,-4.170986346
Chd6,1.085526552,0.118395014,0.031063435,0.120155092,10.07532486,2.158306378,-4.191396937
Gapdh,1.099243572,0.136511096,0.032026436,0.123025687,11.46694738,2.146097297,-4.215522989
Cspp1,-1.085910293,-0.118904927,0.032620375,0.124448963,9.950543718,-2.138723429,-4.242373426
Plppr4,1.084338058,0.116814607,0.034208512,0.129620007,9.968947504,2.119556956,-4.281134554
Phf3,1.084400582,0.116897793,0.034801832,0.130977164,10.11454543,2.112591539,-4.282961607
Ptprd,1.079310792,0.110110354,0.035407981,0.132364063,13.53062274,2.105579559,-4.51816583
Oxr1,1.097152113,0.13376356,0.036077534,0.13396791,10.89946368,2.097952307,-4.284668768
Krit1,-1.086758503,-0.120031383,0.036687493,0.135330685,10.25317084,-2.091108373,-4.316307745
Gm27032,1.08763664,0.121196658,0.038292991,0.137397529,10.2945631,2.073547063,-4.35018035
Kcnq3,-1.083321086,-0.115460908,0.03833922,0.137397529,9.961726758,-2.073050751,-4.376060723
Mbnl2,-1.084432255,-0.11693993,0.038394554,0.137397529,10.18750967,-2.072457362,-4.358290318
Ylpm1,-1.083369085,-0.115524827,0.038739033,0.137397529,9.996330214,-2.068779534,-4.381812519
Sdccag3,-1.081267149,-0.112723014,0.038775649,0.137397529,10.04936305,-2.068390239,-4.377844081
1700020I14Rik,-1.08751273,-0.121032289,0.038945824,0.137397529,10.28540554,-2.06658507,-4.363912186
Luc7l2,1.080970892,0.112327676,0.03917231,0.137397529,11.64943079,2.064192942,-4.399515901
Stmn3,1.090703724,0.125259265,0.039221198,0.137397529,10.5169999,2.063678138,-4.357726955
Hsp90ab1,1.091863084,0.126791959,0.040087183,0.139553506,11.40158154,2.054648194,-4.397437054
Fbxw7,-1.089884574,-0.124175352,0.040498182,0.140108616,10.38604937,-2.050420408,-4.389560479
Snhg11,1.043139987,0.060932777,0.040886045,0.140577327,15.26365641,2.046463875,-4.804220821
Atp2b2,-1.093766851,-0.129305244,0.041749877,0.142549473,10.8025466,-2.037765191,-4.403666427
Top1,-1.081456683,-0.112975881,0.041971479,0.142549473,10.05927937,-2.035558289,-4.442543084
AC149090.1,-1.091957536,-0.126916754,0.047730313,0.161125965,11.11408482,-1.981398287,-4.523898323
Camk2a,-1.083263513,-0.115384234,0.048024167,0.16114133,11.46468499,-1.978785532,-4.552780195
Cadm2,1.072760824,0.101328457,0.049462267,0.16261456,11.80397102,1.96618947,-4.607105519
Tef,1.080983692,0.112344758,0.04954509,0.16261456,10.08410019,1.965473451,-4.577778191
Eml5,-1.081122945,-0.112530595,0.049599817,0.16261456,10.08212386,-1.965000881,-4.577923841
Nap1l1,-1.079646752,-0.110559356,0.049631015,0.16261456,10.020242,-1.96473168,-4.584144138
